concern,skin_type,ingredients,benefits,directions,brands,notes
flaky skin,oily,"glycerin, squalane",Helps improve flaky skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Simple, Dermalogica, SK-II",Avoid mixing strong actives; discontinue if irritation occurs
oily skin,oily,"tranexamic acid, licorice root",Helps improve oily skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Drunk Elephant, The Ordinary, Ren Clean Skincare",Avoid mixing strong actives; discontinue if irritation occurs
dull skin,normal,"AHA, arbutin",Helps improve dull skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Mer, Youth to the People, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
dry skin,combination,"ceramides, panthenol",Helps improve dry skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Simple, Glow Recipe, Aveeno",Avoid mixing strong actives; discontinue if irritation occurs
hormonal acne,combination,"niacinamide, benzoyl peroxide",Helps improve hormonal acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, Dermalogica, First Aid Beauty",Avoid mixing strong actives; discontinue if irritation occurs
sun damage,combination,"vitamin C, AHA",Helps improve sun damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cosrx, Sulwhasoo, Aveeno",Avoid mixing strong actives; discontinue if irritation occurs
under-eye circles,normal,"azelaic acid, licorice root",Helps improve under-eye circles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Kiehl's, LANEIGE, Inkey List",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,normal,"arbutin, kojic acid",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"StriVectin, Tatcha, Glow Recipe",Avoid mixing strong actives; discontinue if irritation occurs
back acne,oily,"benzoyl peroxide, niacinamide",Helps improve back acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Krave Beauty, Farmacy, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
rosacea,sensitive,"allantoin, aloe vera",Helps improve rosacea; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Murad, Aveeno, Sulwhasoo",Avoid mixing strong actives; discontinue if irritation occurs
under-eye circles,sensitive,"benzoyl peroxide, tea tree oil",Helps improve under-eye circles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, Versed, LANEIGE",Avoid mixing strong actives; discontinue if irritation occurs
large pores,sensitive,"allantoin, calendula",Helps improve large pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Farmacy, Estee Lauder, CeraVe",Avoid mixing strong actives; discontinue if irritation occurs
hormonal acne,sensitive,"benzoyl peroxide, niacinamide",Helps improve hormonal acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Dermalogica, 111Skin, Avene",Avoid mixing strong actives; discontinue if irritation occurs
makeup irritation,combination,"azelaic acid, vitamin C",Helps improve makeup irritation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Babor, Youth to the People, StriVectin",Avoid mixing strong actives; discontinue if irritation occurs
acne scars,combination,"vitamin C, azelaic acid",Helps improve acne scars; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"StriVectin, Krave Beauty, Drunk Elephant",Avoid mixing strong actives; discontinue if irritation occurs
stress-induced acne,sensitive,"azelaic acid, tea tree oil",Helps improve stress-induced acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clinique, Naturium, Tatcha",Avoid mixing strong actives; discontinue if irritation occurs
psoriasis,dry,"lanolin, cholesterol",Helps improve psoriasis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Good Molecules, LANEIGE, CeraVe",Avoid mixing strong actives; discontinue if irritation occurs
damaged skin barrier,normal,"ceramides, fatty acids",Helps improve damaged skin barrier; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, Youth to the People, Versed",Avoid mixing strong actives; discontinue if irritation occurs
bumpy skin,sensitive,"arbutin, kojic acid",Helps improve bumpy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cosrx, Clinique, Murad",Avoid mixing strong actives; discontinue if irritation occurs
dry cheeks,combination,"hyaluronic acid, panthenol",Helps improve dry cheeks; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sisley Paris, Biossance, Peach & Lily",Avoid mixing strong actives; discontinue if irritation occurs
razor bumps,combination,"aloe vera, centella asiatica",Helps improve razor bumps; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Murad, Peach & Lily, StriVectin",Avoid mixing strong actives; discontinue if irritation occurs
seborrheic dermatitis,oily,"lanolin, cholesterol",Helps improve seborrheic dermatitis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Minimalist, Youth to the People, Good Molecules",Avoid mixing strong actives; discontinue if irritation occurs
puffy eyes,dry,"centella asiatica, aloe vera",Helps improve puffy eyes; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Cetaphil, Sunday Riley",Avoid mixing strong actives; discontinue if irritation occurs
body acne,normal,"salicylic acid, azelaic acid",Helps improve body acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Shiseido, Dermalogica, Obagi",Avoid mixing strong actives; discontinue if irritation occurs
congested skin,combination,"salicylic acid, azelaic acid",Helps improve congested skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Obagi, Minimalist, CeraVe",Avoid mixing strong actives; discontinue if irritation occurs
sensitivity,oily,"calendula, aloe vera",Helps improve sensitivity; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sisley Paris, Glow Recipe, Avene",Avoid mixing strong actives; discontinue if irritation occurs
discoloration,oily,"azelaic acid, licorice root",Helps improve discoloration; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Babor, Augustinus Bader, Avene",Avoid mixing strong actives; discontinue if irritation occurs
dehydrated skin,sensitive,"squalane, ceramides",Helps improve dehydrated skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Farmacy, Sunday Riley, Obagi",Avoid mixing strong actives; discontinue if irritation occurs
clogged pores,dry,"azelaic acid, salicylic acid",Helps improve clogged pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Augustinus Bader, Cosrx, Peter Thomas Roth",Avoid mixing strong actives; discontinue if irritation occurs
keratosis pilaris,combination,"lanolin, colloidal oatmeal",Helps improve keratosis pilaris; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Good Molecules, Glow Recipe, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
blotchiness,oily,"vitamin C, kojic acid",Helps improve blotchiness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, Glow Recipe, CeraVe",Avoid mixing strong actives; discontinue if irritation occurs
ingrown hairs,normal,"ceramides, glycerin",Helps improve ingrown hairs; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Aveeno, StriVectin, Good Molecules",Avoid mixing strong actives; discontinue if irritation occurs
damaged skin barrier,normal,"colloidal oatmeal, cholesterol",Helps improve damaged skin barrier; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"111Skin, Krave Beauty, First Aid Beauty",Avoid mixing strong actives; discontinue if irritation occurs
melasma,normal,"licorice root, vitamin C",Helps improve melasma; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Minimalist, Simple, Allies of Skin",Avoid mixing strong actives; discontinue if irritation occurs
ingrown hairs,dry,"collagen, peptides",Helps improve ingrown hairs; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, Drunk Elephant, Cetaphil",Avoid mixing strong actives; discontinue if irritation occurs
sallow skin,oily,"collagen, retinol",Helps improve sallow skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Sisley Paris, Glow Recipe",Avoid mixing strong actives; discontinue if irritation occurs
blotchiness,sensitive,"centella asiatica, green tea",Helps improve blotchiness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, Cetaphil, La Roche Posay",Avoid mixing strong actives; discontinue if irritation occurs
seborrheic dermatitis,dry,"ceramides, fatty acids",Helps improve seborrheic dermatitis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Vichy, Estee Lauder, Ren Clean Skincare",Avoid mixing strong actives; discontinue if irritation occurs
makeup irritation,dry,"AHA, vitamin C",Helps improve makeup irritation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, Inkey List, Augustinus Bader",Avoid mixing strong actives; discontinue if irritation occurs
fine lines,normal,"bakuchiol, collagen",Helps improve fine lines; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Tatcha, First Aid Beauty",Avoid mixing strong actives; discontinue if irritation occurs
scarring,combination,"benzoyl peroxide, tea tree oil",Helps improve scarring; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, Olay, Kiehl's",Avoid mixing strong actives; discontinue if irritation occurs
puffy eyes,oily,"centella asiatica, calendula",Helps improve puffy eyes; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, Ren Clean Skincare, Minimalist",Avoid mixing strong actives; discontinue if irritation occurs
hyperkeratosis,normal,"green tea, allantoin",Helps improve hyperkeratosis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Vichy, 111Skin, Paula's Choice",Avoid mixing strong actives; discontinue if irritation occurs
skin dullness,dry,"AHA, vitamin C",Helps improve skin dullness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Guerlain, SK-II, Drunk Elephant",Avoid mixing strong actives; discontinue if irritation occurs
hyperkeratosis,combination,"azelaic acid, tranexamic acid",Helps improve hyperkeratosis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Bioderma, Olay, Dermalogica",Avoid mixing strong actives; discontinue if irritation occurs
psoriasis,sensitive,"lanolin, cholesterol",Helps improve psoriasis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sunday Riley, Inkey List, The Ordinary",Avoid mixing strong actives; discontinue if irritation occurs
hyperpigmentation,oily,"vitamin C, niacinamide",Helps improve hyperpigmentation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Simple, Shiseido",Avoid mixing strong actives; discontinue if irritation occurs
dry cheeks,combination,"ceramides, hyaluronic acid",Helps improve dry cheeks; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Mer, Cosrx, Versed",Avoid mixing strong actives; discontinue if irritation occurs
sunburn,dry,"green tea, calendula",Helps improve sunburn; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Glow Recipe, Murad, Krave Beauty",Avoid mixing strong actives; discontinue if irritation occurs
dull skin,sensitive,"arbutin, azelaic acid",Helps improve dull skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Estee Lauder, Olay, Naturium",Avoid mixing strong actives; discontinue if irritation occurs
hyperpigmentation,combination,"vitamin C, licorice root",Helps improve hyperpigmentation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Obagi, Tatcha, Cosrx",Avoid mixing strong actives; discontinue if irritation occurs
sunburn,sensitive,"centella asiatica, aloe vera",Helps improve sunburn; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Vichy, SK-II, LANEIGE",Avoid mixing strong actives; discontinue if irritation occurs
clogged pores,combination,"salicylic acid, azelaic acid",Helps improve clogged pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Glow Recipe, CeraVe, StriVectin",Avoid mixing strong actives; discontinue if irritation occurs
oily skin,oily,"panthenol, glycerin",Helps improve oily skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Roche Posay, 111Skin, La Mer",Avoid mixing strong actives; discontinue if irritation occurs
eczema,sensitive,"colloidal oatmeal, cholesterol",Helps improve eczema; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Versed, Krave Beauty, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
flaky skin,normal,"ceramides, squalane",Helps improve flaky skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"111Skin, La Roche Posay, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
hormonal acne,sensitive,"salicylic acid, benzoyl peroxide",Helps improve hormonal acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sisley Paris, Minimalist, Biossance",Avoid mixing strong actives; discontinue if irritation occurs
eczema,normal,"ceramides, colloidal oatmeal",Helps improve eczema; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cetaphil, First Aid Beauty, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
keratosis pilaris,oily,"licorice root, tranexamic acid",Helps improve keratosis pilaris; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Avene, 111Skin, SK-II",Avoid mixing strong actives; discontinue if irritation occurs
sensitivity,normal,"allantoin, green tea",Helps improve sensitivity; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, Ren Clean Skincare, Murad",Avoid mixing strong actives; discontinue if irritation occurs
cystic acne,dry,"azelaic acid, tea tree oil",Helps improve cystic acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, Guerlain, Shiseido",Avoid mixing strong actives; discontinue if irritation occurs
acne,sensitive,"niacinamide, salicylic acid",Helps improve acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"CeraVe, 111Skin, Avene",Avoid mixing strong actives; discontinue if irritation occurs
congested skin,combination,"niacinamide, tea tree oil",Helps improve congested skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clarins, CeraVe, Youth to the People",Avoid mixing strong actives; discontinue if irritation occurs
body acne,oily,"azelaic acid, benzoyl peroxide",Helps improve body acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"StriVectin, La Mer, Farmacy",Avoid mixing strong actives; discontinue if irritation occurs
whiteheads,sensitive,"salicylic acid, benzoyl peroxide",Helps improve whiteheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cetaphil, The Ordinary, Biossance",Avoid mixing strong actives; discontinue if irritation occurs
ingrown hairs,sensitive,"peptides, bakuchiol",Helps improve ingrown hairs; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Good Molecules, First Aid Beauty, Farmacy",Avoid mixing strong actives; discontinue if irritation occurs
hyperkeratosis,oily,"peptides, coenzyme Q10",Helps improve hyperkeratosis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Olay, Cosrx, Naturium",Avoid mixing strong actives; discontinue if irritation occurs
psoriasis,oily,"lanolin, cholesterol",Helps improve psoriasis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Augustinus Bader, La Mer, Drunk Elephant",Avoid mixing strong actives; discontinue if irritation occurs
acne scars,oily,"lanolin, cholesterol",Helps improve acne scars; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, Farmacy, Versed",Avoid mixing strong actives; discontinue if irritation occurs
scarring,dry,"hyaluronic acid, ceramides",Helps improve scarring; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Guerlain, Dermalogica, Aveeno",Avoid mixing strong actives; discontinue if irritation occurs
itchy skin,combination,"fatty acids, lanolin",Helps improve itchy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"CeraVe, StriVectin, Kiehl's",Avoid mixing strong actives; discontinue if irritation occurs
dark spots,normal,"vitamin C, AHA",Helps improve dark spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Kiehl's, SK-II, Estee Lauder",Avoid mixing strong actives; discontinue if irritation occurs
fine lines,normal,"collagen, bakuchiol",Helps improve fine lines; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Babor, Minimalist, Paula's Choice",Avoid mixing strong actives; discontinue if irritation occurs
stress-induced acne,sensitive,"niacinamide, benzoyl peroxide",Helps improve stress-induced acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clinique, Krave Beauty, Minimalist",Avoid mixing strong actives; discontinue if irritation occurs
damaged skin barrier,normal,"ceramides, colloidal oatmeal",Helps improve damaged skin barrier; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Olay, Versed, Krave Beauty",Avoid mixing strong actives; discontinue if irritation occurs
dark spots,dry,"kojic acid, AHA",Helps improve dark spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, La Roche Posay, StriVectin",Avoid mixing strong actives; discontinue if irritation occurs
oily T-zone,dry,"tranexamic acid, azelaic acid",Helps improve oily T-zone; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Allies of Skin, Glow Recipe, Youth to the People",Avoid mixing strong actives; discontinue if irritation occurs
acne,combination,"niacinamide, benzoyl peroxide",Helps improve acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Krave Beauty, Allies of Skin, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
age spots,combination,"peptides, collagen",Helps improve age spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Mer, Aveeno, The Ordinary",Avoid mixing strong actives; discontinue if irritation occurs
oily skin,oily,"peptides, collagen",Helps improve oily skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Allies of Skin, La Mer, 111Skin",Avoid mixing strong actives; discontinue if irritation occurs
rosacea,dry,"green tea, aloe vera",Helps improve rosacea; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"CeraVe, Bioderma, Babor",Avoid mixing strong actives; discontinue if irritation occurs
clogged pores,sensitive,"tea tree oil, benzoyl peroxide",Helps improve clogged pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Versed, The Ordinary, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
fine lines,oily,"bakuchiol, peptides",Helps improve fine lines; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Allies of Skin, First Aid Beauty, La Mer",Avoid mixing strong actives; discontinue if irritation occurs
under-eye circles,sensitive,"hyaluronic acid, squalane",Helps improve under-eye circles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Estee Lauder, The Ordinary, Paula's Choice",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,combination,"arbutin, AHA",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Bioderma, Biossance, Avene",Avoid mixing strong actives; discontinue if irritation occurs
oily skin,normal,"azelaic acid, tea tree oil",Helps improve oily skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Naturium, Farmacy, La Roche Posay",Avoid mixing strong actives; discontinue if irritation occurs
acne scars,dry,"tranexamic acid, licorice root",Helps improve acne scars; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Vichy, Good Molecules, Clarins",Avoid mixing strong actives; discontinue if irritation occurs
chemical burn recovery,dry,"ceramides, cholesterol",Helps improve chemical burn recovery; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Tatcha, First Aid Beauty, Avene",Avoid mixing strong actives; discontinue if irritation occurs
razor bumps,normal,"licorice root, tranexamic acid",Helps improve razor bumps; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, Olay, 111Skin",Avoid mixing strong actives; discontinue if irritation occurs
under-eye circles,normal,"AHA, vitamin C",Helps improve under-eye circles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, Tatcha, Clarins",Avoid mixing strong actives; discontinue if irritation occurs
dark spots,sensitive,"vitamin C, kojic acid",Helps improve dark spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cosrx, Versed, Aveeno",Avoid mixing strong actives; discontinue if irritation occurs
cystic acne,normal,"tea tree oil, salicylic acid",Helps improve cystic acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, Avene, Allies of Skin",Avoid mixing strong actives; discontinue if irritation occurs
seborrheic dermatitis,sensitive,"colloidal oatmeal, ceramides",Helps improve seborrheic dermatitis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Ren Clean Skincare, Sulwhasoo, Paula's Choice",Avoid mixing strong actives; discontinue if irritation occurs
sunburn,combination,"aloe vera, calendula",Helps improve sunburn; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Aveeno, Cetaphil, First Aid Beauty",Avoid mixing strong actives; discontinue if irritation occurs
back acne,dry,"tea tree oil, benzoyl peroxide",Helps improve back acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sisley Paris, Neutrogena, Peter Thomas Roth",Avoid mixing strong actives; discontinue if irritation occurs
itchy skin,normal,"colloidal oatmeal, fatty acids",Helps improve itchy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, Allies of Skin, Estee Lauder",Avoid mixing strong actives; discontinue if irritation occurs
dehydrated skin,oily,"ceramides, glycerin",Helps improve dehydrated skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"111Skin, Clarins, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
discoloration,sensitive,"niacinamide, licorice root",Helps improve discoloration; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Paula's Choice, Cetaphil, Sisley Paris",Avoid mixing strong actives; discontinue if irritation occurs
puffy eyes,normal,"aloe vera, centella asiatica",Helps improve puffy eyes; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, Youth to the People, Estee Lauder",Avoid mixing strong actives; discontinue if irritation occurs
textured skin,sensitive,"fatty acids, cholesterol",Helps improve textured skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Youth to the People, Simple, First Aid Beauty",Avoid mixing strong actives; discontinue if irritation occurs
puffy eyes,sensitive,"green tea, centella asiatica",Helps improve puffy eyes; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clinique, First Aid Beauty, CeraVe",Avoid mixing strong actives; discontinue if irritation occurs
rough patches,sensitive,"azelaic acid, arbutin",Helps improve rough patches; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cosrx, Clarins, Sunday Riley",Avoid mixing strong actives; discontinue if irritation occurs
eczema,combination,"lanolin, cholesterol",Helps improve eczema; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, 111Skin, Glow Recipe",Avoid mixing strong actives; discontinue if irritation occurs
scarring,sensitive,"niacinamide, tranexamic acid",Helps improve scarring; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clarins, Paula's Choice, Good Molecules",Avoid mixing strong actives; discontinue if irritation occurs
cystic acne,combination,"benzoyl peroxide, salicylic acid",Helps improve cystic acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Glow Recipe, Shiseido, La Mer",Avoid mixing strong actives; discontinue if irritation occurs
sensitivity,oily,"centella asiatica, aloe vera",Helps improve sensitivity; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Babor, Sunday Riley",Avoid mixing strong actives; discontinue if irritation occurs
melasma,normal,"vitamin C, tranexamic acid",Helps improve melasma; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Ren Clean Skincare, Naturium, The Ordinary",Avoid mixing strong actives; discontinue if irritation occurs
stress-induced acne,sensitive,"benzoyl peroxide, tea tree oil",Helps improve stress-induced acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Versed, Bioderma, Avene",Avoid mixing strong actives; discontinue if irritation occurs
whiteheads,oily,"benzoyl peroxide, azelaic acid",Helps improve whiteheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Naturium, First Aid Beauty, Minimalist",Avoid mixing strong actives; discontinue if irritation occurs
uneven texture,oily,"arbutin, vitamin C",Helps improve uneven texture; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Dermalogica, Estee Lauder, Peach & Lily",Avoid mixing strong actives; discontinue if irritation occurs
dull skin,sensitive,"AHA, vitamin C",Helps improve dull skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, Obagi, Simple",Avoid mixing strong actives; discontinue if irritation occurs
sallow skin,sensitive,"allantoin, calendula",Helps improve sallow skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, Cosrx, Sisley Paris",Avoid mixing strong actives; discontinue if irritation occurs
wrinkles,oily,"bakuchiol, peptides",Helps improve wrinkles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cetaphil, Vichy, Cosrx",Avoid mixing strong actives; discontinue if irritation occurs
razor bumps,dry,"squalane, panthenol",Helps improve razor bumps; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Estee Lauder, Cosrx, 111Skin",Avoid mixing strong actives; discontinue if irritation occurs
wrinkles,dry,"peptides, collagen",Helps improve wrinkles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Dermalogica, Youth to the People, Kiehl's",Avoid mixing strong actives; discontinue if irritation occurs
blackheads,oily,"salicylic acid, tea tree oil",Helps improve blackheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, Estee Lauder, Inkey List",Avoid mixing strong actives; discontinue if irritation occurs
blotchiness,oily,"peptides, coenzyme Q10",Helps improve blotchiness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, Krave Beauty, Sunday Riley",Avoid mixing strong actives; discontinue if irritation occurs
scarring,oily,"allantoin, calendula",Helps improve scarring; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Ren Clean Skincare, Babor",Avoid mixing strong actives; discontinue if irritation occurs
keratosis pilaris,combination,"peptides, coenzyme Q10",Helps improve keratosis pilaris; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Tatcha, Versed, Peach & Lily",Avoid mixing strong actives; discontinue if irritation occurs
